repNumber, q1Time, q1Results, q2Time, q2Results, q3Time, q3Results, totalNumberOfTriples
1, 47, 1, 94, 1000, 618, 2000, 25574036
1, 47, 1, 97, 1000, 625, 2000, 25783770
1, 51, 1, 83, 1000, 612, 2000, 25970511
1, 47, 1, 85, 1000, 608, 2000, 26205961
1, 47, 1, 87, 1000, 610, 2000, 26433943
1, 47, 1, 89, 1000, 615, 2000, 26662484
1, 47, 1, 88, 1000, 871, 2000, 26854773
1, 48, 1, 93, 1000, 1332, 2000, 27057349
1, 57, 1, 90, 1000, 611, 2000, 27259778
1, 48, 1, 95, 1000, 631, 2000, 27444265
1, 47, 1, 95, 1000, 624, 2000, 27660298
1, 48, 1, 98, 1000, 627, 2000, 27906172
1, 48, 1, 78, 1000, 607, 2000, 28147357
1, 46, 1, 82, 1000, 600, 2000, 28311651
1, 47, 1, 89, 1000, 788, 2000, 28466443
1, 47, 1, 87, 1000, 607, 2000, 28668461
1, 47, 1, 88, 1000, 612, 2000, 28888578
1, 47, 1, 90, 1000, 781, 2000, 29069835
1, 48, 1, 89, 1000, 610, 2000, 29300270
1, 46, 1, 91, 1000, 614, 2000, 29521643
1, 47, 1, 91, 1000, 615, 2000, 29756181
1, 47, 1, 93, 1000, 677, 2000, 29976361
1, 48, 1, 80, 1000, 597, 2000, 30188486
1, 72, 1, 85, 1000, 607, 2000, 30431212
1, 48, 1, 89, 1000, 807, 2000, 30655438
1, 47, 1, 87, 1000, 614, 2000, 30856533
1, 73, 1, 90, 1000, 614, 2000, 31085882
1, 77, 1, 91, 1000, 615, 2000, 31315979
1, 46, 1, 92, 1000, 744, 2000, 31543507
1, 47, 1, 94, 1000, 617, 2000, 31767345
1, 47, 1, 96, 1000, 621, 2000, 32004047
1, 48, 1, 100, 1000, 644, 2000, 32185788
1, 47, 1, 454, 1000, 597, 2000, 32349104
1, 47, 1, 83, 1000, 606, 2000, 32543891
1, 46, 1, 85, 1000, 603, 2000, 32768191
1, 47, 1, 88, 1000, 611, 2000, 33010632
1, 46, 1, 87, 1000, 606, 2000, 33218497
1, 47, 1, 90, 1000, 608, 2000, 33438420
1, 47, 1, 90, 1000, 612, 2000, 33666015
1, 47, 1, 93, 1000, 615, 2000, 33870209
1, 49, 1, 98, 1000, 636, 2000, 34083683
1, 47, 1, 134, 1000, 618, 2000, 34294032
1, 51, 1, 80, 1000, 601, 2000, 34477766
1, 47, 1, 84, 1000, 754, 2000, 34712413
1, 51, 1, 87, 1000, 609, 2000, 34921488
1, 47, 1, 88, 1000, 613, 2000, 35137081
